NM_UF,NM_MUNICIPIO,LONG,LAT
RONDÔNIA,ALTA FLORESTA D'OESTE,-61.9998239,-11.9355403
RONDÔNIA,ARIQUEMES,-63.03326928,-9.908462867
RONDÔNIA,CABIXI,-60.54431358,-13.49976346
RONDÔNIA,CACOAL,-61.44294421,-11.43386503
RONDÔNIA,CEREJEIRAS,-60.81842616,-13.19503303
RONDÔNIA,COLORADO DO OESTE,-60.55506746,-13.13056384
RONDÔNIA,CORUMBIARA,-60.94870117,-12.99752024
RONDÔNIA,COSTA MARQUES,-64.23165394,-12.43601388
RONDÔNIA,ESPIGÃO D'OESTE,-61.02017311,-11.52855463
RONDÔNIA,GUAJARÁ-MIRIM,-65.32395182,-10.77388374
RONDÔNIA,JARU,-62.47623071,-10.43594877
RONDÔNIA,JI-PARANÁ,-61.94509458,-10.88205132
RONDÔNIA,MACHADINHO D'OESTE,-61.99959257,-9.42556248
RONDÔNIA,NOVA BRASILÂNDIA D'OESTE,-62.30823016,-11.72132541
RONDÔNIA,OURO PRETO DO OESTE,-62.26105519,-10.7235739
RONDÔNIA,PIMENTA BUENO,-61.18366567,-11.67753699
RONDÔNIA,PORTO VELHO,-63.83144565,-8.76889179
RONDÔNIA,PRESIDENTE MÉDICI,-61.90943868,-11.17320502
RONDÔNIA,RIO CRESPO,-62.90001037,-9.70553671
RONDÔNIA,ROLIM DE MOURA,-61.78578094,-11.72225891
RONDÔNIA,SANTA LUZIA D'OESTE,-61.77330546,-11.90842333
RONDÔNIA,VILHENA,-60.13858387,-12.74137347
RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,-62.72006348,-11.69948974
RONDÔNIA,NOVA MAMORÉ,-65.32914902,-10.41177129
RONDÔNIA,ALVORADA D'OESTE,-62.27727487,-11.34413002
RONDÔNIA,ALTO ALEGRE DOS PARECIS,-61.85307717,-12.13177722
RONDÔNIA,ALTO PARAÍSO,-63.31762943,-9.716666738
RONDÔNIA,BURITIS,-63.82967879,-10.20980541
RONDÔNIA,NOVO HORIZONTE DO OESTE,-61.99438766,-11.70974292
